location,Basileia,Basileia,Basileia
lat,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697
variable,Temperature,Wind Speed,Wind Direction
unit,°C,km/h,°
level,2 m elevation corrected,10 m,10 m
resolution,hourly,hourly,hourly
aggregation,None,None,None
timestamp,Temperature,Wind Speed,Wind Direction
20241018T1300,16.07053,11.440978,257.27563
20241018T1400,16.05053,12.959999,270.0
20241018T1500,16.05053,12.964998,271.59113
20241018T1600,16.000528,11.183201,273.6914
20241018T1700,15.510529,6.28713,256.7595
20241018T1800,15.380529,3.2599385,276.34018
20241018T1900,15.010529,2.0991426,149.03624
20241018T2000,14.970529,4.3349743,131.63353
20241018T2100,14.490529,4.39436,124.99202
20241018T2200,13.870529,5.1919937,123.69006
20241018T2300,13.310529,4.8433046,138.01279
20241019T0000,13.180529,6.792466,147.99461
20241019T0100,12.710529,6.792466,147.99461
20241019T0200,12.3005295,7.2,143.1301
20241019T0300,11.730529,5.1165614,129.2894
20241019T0400,11.240529,6.28713,113.62937
20241019T0500,11.150529,4.6938257,122.47119
20241019T0600,10.820529,3.219938,116.56505
20241019T0700,11.590529,3.563818,135.0
20241019T0800,13.130529,1.8,270.0
20241019T0900,14.400529,8.427383,289.98312
20241019T1000,15.310529,7.7879906,303.69006
20241019T1100,15.980529,8.4963045,306.38437
20241019T1200,16.40053,10.315115,299.24884
20241019T1300,16.910528,0.35999998,270.0
20241019T1400,17.04053,1.8,360.0
20241019T1500,17.030529,1.5273507,44.999985
20241019T1600,16.79053,4.198285,120.96376
20241019T1700,16.40053,6.4096174,128.15723
20241019T1800,16.030529,6.489992,123.69006
20241019T1900,14.920529,7.10031,120.465546
20241019T2000,14.250529,6.3690495,132.70938
20241019T2100,13.700529,4.3349743,138.36646
20241019T2200,13.130529,4.1046314,142.12502
20241019T2300,12.650529,0.8049845,206.56505
20241020T0000,12.390529,2.0991426,239.03624
20241020T0100,12.040529,2.9024127,172.87498
20241020T0200,11.540529,4.6102495,141.34018
20241020T0300,10.890529,4.68,89.99999
20241020T0400,10.240529,4.8433046,131.98721
20241020T0500,9.760529,0.35999998,89.99999
20241020T0600,9.440529,4.5820518,135.0
20241020T0700,10.220529,4.5536795,108.434944
20241020T0800,12.330529,8.905908,104.03624
20241020T0900,14.610529,9.6932955,105.06849
20241020T1000,16.57053,9.360001,112.61986
20241020T1100,18.030529,7.5170207,106.69924
20241020T1200,19.05053,4.68,89.99999
20241020T1300,19.600529,2.968636,165.96376
20241020T1400,19.80053,0.71999997,360.0
20241020T1500,19.65053,1.9386592,21.801407
20241020T1600,18.850529,2.0991426,59.036232
20241020T1700,18.350529,3.6179552,95.71059
20241020T1800,17.87053,3.2599385,96.34019
20241020T1900,16.82053,1.08,89.99999
20241020T2000,16.29053,4.3498964,155.55605
20241020T2100,15.620529,7.0911775,156.0375
20241020T2200,14.790529,5.315336,151.69923
20241020T2300,14.130529,5.495161,121.6075
20241021T0000,13.720529,5.991594,122.73523
20241021T0100,13.180529,6.1305785,130.23636
20241021T0200,12.650529,8.39657,120.96376
20241021T0300,11.600529,8.089993,110.854454
20241021T0400,11.110529,7.8954163,114.22774
20241021T0500,10.900529,9.227524,110.556046
20241021T0600,10.010529,9.565437,109.798874
20241021T0700,10.420529,9.028754,113.498566
20241021T0800,12.730529,10.041354,104.534454
20241021T0900,15.530529,10.931203,107.241455
20241021T1000,18.660528,12.224107,103.62699
20241021T1100,20.97053,14.05845,103.324524
20241021T1200,22.39053,14.689589,107.10272
20241021T1300,23.05053,8.913181,133.36342
20241021T1400,23.020529,9.565437,109.798874
20241021T1500,22.29053,10.1376915,96.1155
20241021T1600,20.930529,9.779817,96.34019
20241021T1700,19.38053,11.043261,109.025604
20241021T1800,17.490528,11.753876,130.03026
20241021T1900,15.810529,11.212135,137.60255
20241021T2000,15.160529,9.673221,135.0
20241021T2100,15.060529,9.422101,133.45184
20241021T2200,15.090529,8.209263,127.874985
20241021T2300,14.990529,5.495161,121.6075
20241022T0000,15.390529,5.8603754,132.51044
20241022T0100,14.990529,5.1165614,140.71059
20241022T0200,14.660529,8.225035,113.19859
20241022T0300,14.900529,6.6087217,119.35774
20241022T0400,15.010529,5.3517847,132.27368
20241022T0500,15.420529,5.495161,148.3925
20241022T0600,15.250529,4.39436,145.00798
20241022T0700,15.080529,1.9386592,158.1986
20241022T0800,15.220529,3.96,180.0
20241022T0900,16.55053,5.815978,201.8014
20241022T1000,18.20053,7.92,270.0
